380002,!Kheis NU,!Kheis,Northern Cape,611
380002,!Kheis NU North,!Kheis,Northern Cape,3000
968083,15 South African Military base/15 SAI,Makhado,Limpopo,54
860018,Aarnhemburg,Albert Luthuli,Mpumalanga,504
529002,Abaqulusi NU,Abaqulusi,KwaZulu-Natal,44850
589125,Abashumi,uMlalazi,KwaZulu-Natal,133
591003,Abashumi,Mandeni,KwaZulu-Natal,1078
164018,Abbotsdale,Swartland,Western Cape,3762
567010,Abebhuzi,Mkhambathini,KwaZulu-Natal,2088
593031,Abejuti,Ndwedwe,KwaZulu-Natal,3238
261005,Aberdeen,Camdeboo,Eastern Cape,5133
297087,Abetshawu,Mbizana,Eastern Cape,391
674001,Abingdon,Kagisano/Molopo,North West,39
271310,Aboboti,Mnquma,Eastern Cape,120
877015,Acornhoek,Bushbuckridge,Mpumalanga,33529
571013,Acton Homes,Okhahlamba,KwaZulu-Natal,2135
271116,Adam,Mnquma,Eastern Cape,30
560002,Adams Rural,Vulamehlo,KwaZulu-Natal,438
599179,Adams Rural,eThekwini,KwaZulu-Natal,31164
266009,Addo,Sundays River Valley,Eastern Cape,6239
277005,Adelaide,Nxuba,Eastern Cape,6126
968010,Afton,Makhado,Limpopo,193
295035,Afzondering,Matatiele,Eastern Cape,292
970002,Aganang NU,Aganang,Limpopo,1678
368006,Aggeneys,Khâi-Ma,Northern Cape,2262
660020,Agisaneng,Moretele,North West,119
283086,Agnes,Emalahleni,Eastern Cape,690
173007,Agulhas,Cape Agulhas,Western Cape,548
964030,Air Force Hoedspruit,Maruleng,Limpopo,2
799037,Akasia,City of Tshwane,Gauteng,59455
562027,Albert Falls,uMshwathi,KwaZulu-Natal,4536
860002,Albert Luthuli NU,Albert Luthuli,Mpumalanga,4267
860002,Albert Luthuli NU,Albert Luthuli,Mpumalanga,14267
860002,Albert Luthuli NU East,Albert Luthuli,Mpumalanga,10267
175005,Albertinia,Hessequa,Western Cape,6372
761001,Alberton,Midvaal,Gauteng,339
797029,Alberton,Ekurhuleni,Gauteng,121536
876022,Albertsnek,Nkomazi,Mpumalanga,2490
524024,Alcockspruit,Newcastle,KwaZulu-Natal,2656
874052,Aldie,Mbombela,Mpumalanga,7517
